,description,positive,neutral,negative,overall
61,People most at risk of needing hospital treatment if they get coronavirus are being asked to stay home.,0.0,0.877,0.123,-0.3353
62,"Ministers have set targets for testing, medical equipment and hospital beds. Have they delivered?",0.0,1.0,0.0,0.0
63,There is a lot of uncertainty around when and how weddings are allowed to take place. What are your rights?,0.0,0.882,0.118,-0.34
64,How will social and work life be different after the easing of some restrictions around the UK?,0.111,0.889,0.0,0.25
65,Millions unable to do their job due to coronavirus will have their wages paid by a new scheme.,0.0,1.0,0.0,0.0
66,What is being done for the five million self-employed people in the UK facing a sudden loss of income?,0.0,0.881,0.119,-0.3182
67,"While waiting for flights to resume, 20 players shared a single room in Auckland for three months.",0.138,0.862,0.0,0.34
68,"Our homes, transport and city-centre spaces would change if we worked from home for good.",0.172,0.828,0.0,0.4404
69,"Rail workers spotted a pair of feet ""but no signs of life"" within the railway boundary in Essex.",0.0,0.851,0.149,-0.4215
70,"Many airlines are planning to resume flying, but they first need to reduce the risks of Covid-19.",0.0,0.858,0.142,-0.3919
71,Cartoonist Priya Kuriyan documents how masks became prevalent in India - even before its lockdown.,0.0,1.0,0.0,0.0
72,Members of the Association of Photographers select a picture that kick-started their career.,0.0,1.0,0.0,0.0
73,Thousands sign a petition and use the hashtag #WeAreTired to protest against recent rapes and killings.,0.0,0.522,0.478,-0.9001
74,"The Swedish singer discusses her pop classic, and how she once became 'tired of the broken heart'.",0.0,0.714,0.286,-0.7184
75,Stephen Wamukota came up with a hand-washing machine that helps prevent the spread of Covid-19.,0.236,0.764,0.0,0.4019
76,"Four years before George Floyd's death made global headlines, another man was shot dead in the same part of the US.",0.0,0.699,0.301,-0.8481
