,title,link,score
49,Debbie Kaore: The attack that highlighted an epidemic of abuse,https://www.bbc.co.uk/news/world-asia-52978324,1.5258535146713257
50,Eskimo Pie no more: Ice cream owners will drop 'derogatory' name,http://rss.cnn.com/~r/rss/cnn_topstories/~3/K-Rjc-2FqxI/index.html,1.512438178062439
51,Brands have been ignoring people of color for too long. He's on a mission to change that.,http://rss.cnn.com/~r/rss/cnn_topstories/~3/LBBcN4N5EaU/index.html,1.4430571794509888
52,Coronavirus: How to make your own face mask,https://www.bbc.co.uk/news/uk-52609777,1.4223003387451172
53,John Bolton: Judge rejects Trump bid to ban ex-adviser's book,https://www.bbc.co.uk/news/world-us-canada-53118721,1.4196722507476807
54,Why it will be a tough climb to confirm anyone new to Berman's post before the November elections,http://rss.cnn.com/~r/rss/cnn_topstories/~3/f7eARhMblE0/index.html,1.347942590713501
55,"'Into the Wild' bus, known as a deadly tourist lure, has been removed by air",http://rss.cnn.com/~r/rss/cnn_topstories/~3/njBbG51blls/index.html,1.345952033996582
56,Eight states are reporting their highest new Covid-19 cases per day since the crisis began,http://rss.cnn.com/~r/rss/cnn_topstories/~3/gzCke5aXRmg/index.html,1.3130605220794678
57,Seattle police investigate human remains found in bags,http://rss.cnn.com/~r/rss/cnn_topstories/~3/25OIDezd9YE/index.html,1.28023099899292
58,Actor-comedian D.L. Hughley collapses onstage in Nashville,http://rss.cnn.com/~r/rss/cnn_topstories/~3/WBnNbMowzGM/index.html,1.276462435722351
59,Twitter permanently suspends account of Katie Hopkins,http://rss.cnn.com/~r/rss/cnn_topstories/~3/HmtnG3PgPIQ/index.html,1.274255633354187
60,Social distancing: A practical guide to how to socialise now,https://www.bbc.co.uk/news/uk-52848793,1.2668495178222656
61,Coronavirus: Where do governments borrow money?,https://www.bbc.co.uk/news/business-50504151,1.1577355861663818
62,Colombian forces rescue kidnapped foreigners and their two dogs,http://rss.cnn.com/~r/rss/cnn_topstories/~3/6gBJ2Kw9xyg/index.html,1.121422529220581
63,Trump isn't aging well,http://rss.cnn.com/~r/rss/cnn_topstories/~3/nHphi1_V9c4/index.html,1.092180848121643
64,Coronavirus symptoms: What are they and how do I protect myself?,https://www.bbc.co.uk/news/health-51048366,1.0057438611984253
65,READ: I learned in a press release from the Attorney General tonight that I was 'stepping down',http://rss.cnn.com/~r/rss/cnn_topstories/~3/0oZ3b-k8tas/index.html,0.9486091732978821
66,"Stay home this solstice, Stonehenge urges revelers",http://rss.cnn.com/~r/rss/cnn_topstories/~3/hLGEuko2iyo/index.html,0.8806353807449341
